approach,state,confirmed_examples,books_top1_accuracy,evaluation_trials,evaluation_method
E5_STATIC_QDQ_S8S8_PER_TENSOR,BOOKS_1_EXAMPLES,1,0.6944444444444444,72,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_S8S8_PER_TENSOR,BOOKS_3_EXAMPLES,3,0.975,240,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_S8S8_PER_TENSOR,BOOKS_5_EXAMPLES,5,1.0,72,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_S8S8_PER_CHANNEL,BOOKS_0_EXAMPLES,0,0.0,12,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_S8S8_PER_CHANNEL,BOOKS_1_EXAMPLES,1,0.6111111111111112,72,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_S8S8_PER_CHANNEL,BOOKS_3_EXAMPLES,3,0.9166666666666666,240,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_S8S8_PER_CHANNEL,BOOKS_5_EXAMPLES,5,0.9444444444444444,72,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_MATMUL_S8S8_PER_CHANNEL,BOOKS_0_EXAMPLES,0,0.25,12,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_MATMUL_S8S8_PER_CHANNEL,BOOKS_1_EXAMPLES,1,0.9722222222222222,72,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_MATMUL_S8S8_PER_CHANNEL,BOOKS_3_EXAMPLES,3,1.0,240,all eligible leave-one-canonical-out reference combinations
E5_STATIC_QDQ_MATMUL_S8S8_PER_CHANNEL,BOOKS_5_EXAMPLES,5,1.0,72,all eligible leave-one-canonical-out reference combinations
ARABIC_TRIMMED_E5_FP32,BOOKS_0_EXAMPLES,0,0.3333333333333333,12,all eligible leave-one-canonical-out reference combinations
ARABIC_TRIMMED_E5_FP32,BOOKS_1_EXAMPLES,1,1.0,72,all eligible leave-one-canonical-out reference combinations
ARABIC_TRIMMED_E5_FP32,BOOKS_3_EXAMPLES,3,1.0,240,all eligible leave-one-canonical-out reference combinations
ARABIC_TRIMMED_E5_FP32,BOOKS_5_EXAMPLES,5,1.0,72,all eligible leave-one-canonical-out reference combinations
ARABIC_TRIMMED_E5_DYNAMIC_INT8_PER_CHANNEL,BOOKS_0_EXAMPLES,0,0.3333333333333333,12,all eligible leave-one-canonical-out reference combinations
ARABIC_TRIMMED_E5_DYNAMIC_INT8_PER_CHANNEL,BOOKS_1_EXAMPLES,1,1.0,72,all eligible leave-one-canonical-out reference combinations
ARABIC_TRIMMED_E5_DYNAMIC_INT8_PER_CHANNEL,BOOKS_3_EXAMPLES,3,1.0,240,all eligible leave-one-canonical-out reference combinations
ARABIC_TRIMMED_E5_DYNAMIC_INT8_PER_CHANNEL,BOOKS_5_EXAMPLES,5,1.0,72,all eligible leave-one-canonical-out reference combinations
FIHRIS_MINILM_FP32,BOOKS_0_EXAMPLES,0,0.25,12,all eligible leave-one-canonical-out reference combinations
FIHRIS_MINILM_FP32,BOOKS_1_EXAMPLES,1,0.7083333333333334,72,all eligible leave-one-canonical-out reference combinations
FIHRIS_MINILM_FP32,BOOKS_3_EXAMPLES,3,0.7791666666666667,240,all eligible leave-one-canonical-out reference combinations
FIHRIS_MINILM_FP32,BOOKS_5_EXAMPLES,5,0.8333333333333334,72,all eligible leave-one-canonical-out reference combinations
FIHRIS_MINILM_DYNAMIC_INT8_PER_CHANNEL,BOOKS_0_EXAMPLES,0,0.25,12,all eligible leave-one-canonical-out reference combinations
FIHRIS_MINILM_DYNAMIC_INT8_PER_CHANNEL,BOOKS_1_EXAMPLES,1,0.75,72,all eligible leave-one-canonical-out reference combinations
FIHRIS_MINILM_DYNAMIC_INT8_PER_CHANNEL,BOOKS_3_EXAMPLES,3,0.8125,240,all eligible leave-one-canonical-out reference combinations
FIHRIS_MINILM_DYNAMIC_INT8_PER_CHANNEL,BOOKS_5_EXAMPLES,5,0.8333333333333334,72,all eligible leave-one-canonical-out reference combinations
LEXICAL_FUZZY_BASELINE,BOOKS_0_EXAMPLES,0,0.0,12,all eligible leave-one-canonical-out reference combinations
LEXICAL_FUZZY_BASELINE,BOOKS_1_EXAMPLES,1,0.09722222222222222,72,all eligible leave-one-canonical-out reference combinations
LEXICAL_FUZZY_BASELINE,BOOKS_3_EXAMPLES,3,0.275,240,all eligible leave-one-canonical-out reference combinations
LEXICAL_FUZZY_BASELINE,BOOKS_5_EXAMPLES,5,0.4305555555555556,72,all eligible leave-one-canonical-out reference combinations
